batter,score,balls,minutes,fours,sixes,innings,batting_average
Kamindu Mendis,943.0,1407.0,2028.0,97.0,19.0,10,94.3
Dhananjaya de Silva,580.0,903.0,1303.0,63.0,6.0,12,48.333333333333336
Dinesh Chandimal,461.0,813.0,1342.0,54.0,2.0,12,38.416666666666664
Angelo Mathews,438.0,937.0,1434.0,37.0,2.0,12,36.5
Dimuth Karunaratne,398.0,758.0,1218.0,41.0,2.0,13,30.615384615384617
Kusal Mendis,370.0,523.0,696.0,43.0,4.0,10,37.0
Pathum Nissanka,247.0,255.0,359.0,31.0,2.0,6,41.166666666666664
Milan Rathnayake,151.0,241.0,330.0,19.0,2.0,5,30.2
Nishan Madushka,127.0,238.0,319.0,14.0,0.0,8,15.875
Prabath Jayasuriya,120.0,356.0,488.0,12.0,0.0,9,13.333333333333334
Vishwa Fernando,45.0,157.0,222.0,5.0,0.0,6,7.5
Lahiru Kumara,23.0,89.0,150.0,3.0,0.0,6,3.8333333333333335
Ramesh Mendis,15.0,67.0,97.0,2.0,0.0,2,7.5
Asitha Fernando,12.0,39.0,73.0,2.0,0.0,3,4.0
Kasun Rajitha,10.0,47.0,85.0,1.0,0.0,0,inf
Nishan Peiris,0.0,0.0,0.0,0.0,0.0,0,
